id,neighborhood,address,city,state,zipcode
1,North Campus,16663 Ortiz Trail,Austin,TX,46899
2,Downtown,98124 John Skyway,Austin,TX,19128
3,Riverside,"PSC 1224, Box 4051",Austin,TX,49009
4,Zilker,5643 Donald Brooks Suite 511,Austin,TX,48065
5,Avery Ranch,90000 Barker Bypass,Austin,TX,42766
6,Riverside,9368 Smith Mall Apt. 134,Austin,TX,59124
7,Rainey,3693 Nguyen Road,Austin,TX,30549
8,Barton Hills,6120 Kristen Village,Austin,TX,99717
9,East Downtown,21221 Jonathan Green,Austin,TX,94545
10,East Downtown,768 Wesley Knoll,Austin,TX,48299
11,Downtown,1928 Marcus Trafficway Suite 951,Austin,TX,92586
12,Avery Ranch,4754 Tyler Groves,Austin,TX,48196
13,West Campus,831 Paul Spur Apt. 473,Austin,TX,32661
14,North Campus,77766 Thomas Field Apt. 687,Austin,TX,83554
15,Downtown,331 Lisa Ridges Suite 829,Austin,TX,76495
16,Avery Ranch,0585 Ramirez Gardens Suite 361,Austin,TX,43403
17,Northridge,35792 Bell Spur Suite 720,Austin,TX,64557
18,South Congress,94986 Alexander Hollow,Austin,TX,17414
19,Barton Hills,509 Jacqueline Terrace Suite 640,Austin,TX,60068
20,Rainey,193 Lisa Heights Suite 562,Austin,TX,33205
21,Rainey,14170 Kent Turnpike Suite 016,Austin,TX,40238
22,North Campus,71145 Collier Falls Apt. 199,Austin,TX,89229
23,Downtown,070 Stanley Villages,Austin,TX,65081
24,West Campus,26846 Stephanie Stream,Austin,TX,66100
25,East Downtown,0736 Brown Viaduct,Austin,TX,26942
26,Barton Hills,0875 Morgan Overpass,Austin,TX,27458
27,Zilker,22494 Kurt Knolls Apt. 049,Austin,TX,02522
28,Avery Ranch,021 Hughes Burg Apt. 637,Austin,TX,49286
29,East Downtown,05389 Montgomery Plains Suite 369,Austin,TX,47381
30,Riverside,126 Clark Trafficway,Austin,TX,22029
31,West Campus,"PSC 8587, Box 8676",Austin,TX,83590
32,Riverside,USNS Nicholson,Austin,TX,58686
